레벨,단어,품사,뜻,유의어,반대말,예문,해석
중2-1,problem,n.,"문제, 어려움","trouble, issue",,There is a problem with my computer.,내 컴퓨터에 문제가 있다.
중2-1,program,n.,프로그램,show,,I watched a TV program.,나는 TV 프로그램을 봤다.
중2-1,program,n.,프로그램,show,,The program starts at eight.,프로그램은 8시에 시작한다.
중2-1,program,n.,프로그램,show,,She joined a summer program.,그녀는 여름 프로그램에 참여했다.
중2-1,programme,n.,프로그램 (영국식),program,,The programme was very useful.,그 프로그램은 아주 유용했다.
중2-1,programme,n.,프로그램 (영국식),program,,We watched a nature programme.,우리는 자연 프로그램을 봤다.
중2-1,programme,n.,프로그램 (영국식),program,,She wrote the programme for the show.,그녀는 공연 순서지를 만들었다.
중2-1,project,n.,"과제, 계획",assignment,,We finished the science project.,우리는 과학 과제를 끝냈다.
중2-1,project,n.,"과제, 계획",assignment,,This project takes two weeks.,이 과제는 2주가 걸린다.
중2-1,project,n.,"과제, 계획",assignment,,She leads a new project.,그녀는 새 프로젝트를 이끈다.
중2-1,puppy,n.,강아지,,,The puppy is very cute.,그 강아지는 아주 귀엽다.
중2-1,puppy,n.,강아지,,,She got a puppy for her birthday.,그녀는 생일에 강아지를 얻었다.
중2-1,puppy,n.,강아지,,,Puppies sleep a lot.,강아지는 잠을 많이 잔다.
중2-1,push,v.,"밀다, 누르다",press,"pull, pull",Push this button to start.,시작하려면 이 버튼을 누르세요.
중2-1,push,v.,"밀다, 누르다",press,"pull, pull",They pushed the car together.,그들은 함께 차를 밀었다.
중2-1,push,v.,"밀다, 누르다",press,"pull, pull",Do not push in line.,줄에서 밀지 마라.
중2-1,put,v.,"놓다, 두다",place,remove,Put the book on the shelf.,책을 선반에 놓아라.
중2-1,put,v.,"놓다, 두다",place,remove,She put her bag down.,그녀는 가방을 내려놓았다.
중2-1,put,v.,"놓다, 두다",place,remove,He put the key in his pocket.,그는 열쇠를 주머니에 넣었다.
중2-1,put off,phr.,"미루다, 연기하다","delay, postpone",,Do not put off your homework.,숙제를 미루지 마라.
중2-1,put off,phr.,"미루다, 연기하다","delay, postpone",,They put off the game because of rain.,그들은 비 때문에 경기를 연기했다.
중2-1,put off,phr.,"미루다, 연기하다","delay, postpone",,She keeps putting off the decision.,그녀는 계속 결정을 미루고 있다.
중2-1,put on,phr.,"~을 입다, 착용하다",wear,,Put on your coat before going out.,나가기 전에 코트를 입어라.
중2-1,put on,phr.,"~을 입다, 착용하다",wear,,She put on her shoes quickly.,그녀는 신발을 빨리 신었다.
중2-1,put on,phr.,"~을 입다, 착용하다",wear,,He is putting on his glasses.,그는 안경을 쓰고 있다.
중2-1,queen,n.,여왕,,"king, king",The queen visited the school.,여왕이 학교를 방문했다.
중2-1,queen,n.,여왕,,"king, king",She played the queen in the play.,그녀는 연극에서 여왕 역을 맡았다.
중2-1,queen,n.,여왕,,"king, king",A queen ruled the country then.,그때는 여왕이 나라를 다스렸다.
중2-1,question,n.,"질문, 문제",,"answer, answer, reply",May I ask a question?,질문해도 될까요?
중2-1,question,n.,"질문, 문제",,"answer, answer, reply",This question is too hard.,이 문제는 너무 어렵다.
중2-1,question,n.,"질문, 문제",,"answer, answer, reply",She answered every question.,그녀는 모든 질문에 답했다.
중2-1,quick,adj.,빠른,fast,slow,She gave a quick answer.,그녀는 빠르게 답했다.
중2-1,quick,adj.,빠른,fast,slow,Take a quick look at this.,이것을 빨리 한번 봐라.
중2-1,quick,adj.,빠른,fast,slow,He is quick at math.,그는 수학이 빠르다.
중2-1,quiet,adj.,조용한,"silent, calm","loud, loud",Please be quiet in the library.,도서관에서는 조용히 해 주세요.
중2-1,quiet,adj.,조용한,"silent, calm","loud, loud",We live on a quiet street.,우리는 조용한 거리에 산다.
중2-1,quiet,adj.,조용한,"silent, calm","loud, loud",He is a quiet boy.,그는 조용한 소년이다.
중2-1,quiz,n.,"퀴즈, 쪽지 시험",,,We had a quiz today.,우리는 오늘 쪽지 시험을 봤다.
중2-1,quiz,n.,"퀴즈, 쪽지 시험",,,The quiz has ten questions.,그 퀴즈는 열 문제다.
중2-1,quiz,n.,"퀴즈, 쪽지 시험",,,She got a perfect quiz score.,그녀는 퀴즈에서 만점을 받았다.
중2-1,rabbit,n.,토끼,bunny,,Rabbits eat carrots.,토끼는 당근을 먹는다.
중2-1,rabbit,n.,토끼,bunny,,A rabbit ran into the bush.,토끼가 덤불로 뛰어들었다.
중2-1,rabbit,n.,토끼,bunny,,The rabbit has long ears.,그 토끼는 귀가 길다.
중2-1,race,n.,"경주, 달리기 시합",competition,,He won the race yesterday.,그는 어제 경주에서 우승했다.
중2-1,race,n.,"경주, 달리기 시합",competition,,The race starts at ten.,경주는 10시에 시작한다.
중2-1,race,n.,"경주, 달리기 시합",competition,,She ran her first race last year.,그녀는 작년에 첫 경주를 뛰었다.
중2-1,radio,n.,라디오,,,"Turn on the radio, please.",라디오를 켜 주세요.
중2-1,radio,n.,라디오,,,She listens to the radio in the car.,그녀는 차에서 라디오를 듣는다.
중2-1,radio,n.,라디오,,,The radio is too loud.,라디오 소리가 너무 크다.
중2-1,rain,"n., v.","비, 비가 오다",,,The rain stopped in the afternoon.,비가 오후에 그쳤다.
중2-1,rain,"n., v.","비, 비가 오다",,,It rained all night.,밤새 비가 왔다.
중2-1,rain,"n., v.","비, 비가 오다",,,Take an umbrella; it is raining.,"우산을 가져가, 비가 오고 있어."
중2-1,read,v.,읽다,,,I read a book every night.,나는 매일 밤 책을 읽는다.
중2-1,read,v.,읽다,,,She read the letter twice.,그녀는 편지를 두 번 읽었다.
중2-1,read,v.,읽다,,,He is reading the newspaper.,그는 신문을 읽고 있다.
중2-1,ready,adj.,준비가 된,prepared,,Are you ready to go?,갈 준비 됐니?
중2-1,ready,adj.,준비가 된,prepared,,Dinner is ready.,저녁이 준비되었다.
중2-1,ready,adj.,준비가 된,prepared,,She was ready for the test.,그녀는 시험 준비가 되어 있었다.
중2-1,recreation,n.,"여가, 오락",leisure,,Sports are good recreation.,운동은 좋은 여가 활동이다.
중2-1,recreation,n.,"여가, 오락",leisure,,We need time for recreation.,우리는 여가 시간이 필요하다.
중2-1,recreation,n.,"여가, 오락",leisure,,The park is used for recreation.,그 공원은 여가용으로 쓰인다.
중2-1,red,adj.,빨간,,,She wore a red hat.,그녀는 빨간 모자를 썼다.
중2-1,red,adj.,빨간,,,The apple is red and sweet.,그 사과는 빨갛고 달다.
중2-1,red,adj.,빨간,,,His face turned red.,그의 얼굴이 빨개졌다.
중2-1,relationship,n.,"관계, 사이","connection, bond",,They have a good relationship.,그들은 좋은 관계이다.
중2-1,relationship,n.,"관계, 사이","connection, bond",,There is a close relationship between sleep and health.,수면과 건강 사이에는 밀접한 관계가 있다.
중2-1,relationship,n.,"관계, 사이","connection, bond",,A good relationship needs trust.,좋은 관계에는 신뢰가 필요하다.
중2-1,remember,v.,기억하다,"recall, keep in mind","forget, forget",I remember her name.,나는 그녀의 이름을 기억한다.
중2-1,remember,v.,기억하다,"recall, keep in mind","forget, forget",Remember to bring your ticket.,표를 가져오는 것을 기억해라.
중2-1,remember,v.,기억하다,"recall, keep in mind","forget, forget",I still remember that day.,나는 아직도 그날을 기억한다.
중2-1,restaurant,n.,"식당, 음식점",,,We ate at a Korean restaurant.,우리는 한식당에서 먹었다.
중2-1,restaurant,n.,"식당, 음식점",,,This restaurant is always full.,이 식당은 항상 만석이다.
중2-1,restaurant,n.,"식당, 음식점",,,My uncle runs a small restaurant.,삼촌은 작은 식당을 운영하신다.
중2-1,restroom,n.,화장실,toilet,,Where is the restroom?,화장실이 어디인가요?
중2-1,restroom,n.,화장실,toilet,,The restroom is down the hall.,화장실은 복도 끝에 있다.
중2-1,restroom,n.,화장실,toilet,,Please keep the restroom clean.,화장실을 깨끗이 써 주세요.
중2-1,return,v.,"돌아오다, 돌아가다","come back, go back","depart, go, leave, depart, leave, go",They returned home late.,그들은 늦게 집에 돌아왔다.
중2-1,return,v.,"돌아오다, 돌아가다","come back, go back","depart, go, leave, depart, leave, go",She returned to Korea last month.,그녀는 지난달 한국으로 돌아왔다.
중2-1,return,v.,"돌려주다, 반납하다",give back,"depart, go, leave, depart, leave, go",Please return the book by Friday.,금요일까지 책을 반납해 주세요.
중2-1,return,v.,"돌려주다, 반납하다",give back,"depart, go, leave, depart, leave, go",He returned my pencil this morning.,그는 오늘 아침 내 연필을 돌려주었다.
중2-1,ribbon,n.,리본,,,She tied her hair with a ribbon.,그녀는 리본으로 머리를 묶었다.
중2-1,ribbon,n.,리본,,,The gift has a red ribbon.,선물에 빨간 리본이 달려 있다.
중2-1,ribbon,n.,리본,,,He cut the ribbon at the opening.,그는 개막식에서 리본을 잘랐다.
중2-1,rich,adj.,"부유한, 부자인",wealthy,"poor, poor",He became rich after many years.,그는 여러 해 뒤에 부자가 되었다.
중2-1,rich,adj.,"부유한, 부자인",wealthy,"poor, poor","Rich or poor, everyone needs friends.",부자든 가난하든 누구나 친구가 필요하다.
중2-1,rich,adj.,풍부한,full of,"poor, poor",Milk is rich in calcium.,우유는 칼슘이 풍부하다.
중2-1,rich,adj.,풍부한,full of,"poor, poor",This country is rich in culture.,이 나라는 문화가 풍부하다.
중2-1,right,adj.,"옳은, 맞는",correct,"left, wrong, left",Your answer is right.,네 답이 맞다.
중2-1,right,adj.,"옳은, 맞는",correct,"left, wrong, left",You made the right choice.,너는 옳은 선택을 했다.
중2-1,right,adj.,오른쪽의,,"left, wrong, left",Turn right at the corner.,모퉁이에서 오른쪽으로 도세요.
중2-1,right,adj.,오른쪽의,,"left, wrong, left",She writes with her right hand.,그녀는 오른손으로 글을 쓴다.
중2-1,ring,"v., n.",(종·전화가) 울리다,sound,,The bell rings at nine.,종이 9시에 울린다.
중2-1,ring,"v., n.",(종·전화가) 울리다,sound,,My phone rang during the class.,수업 중에 내 전화가 울렸다.
중2-1,ring,"v., n.",반지,,,She wears a silver ring.,그녀는 은반지를 낀다.
중2-1,ring,"v., n.",반지,,,He gave her a ring as a gift.,그는 그녀에게 반지를 선물로 주었다.
중2-1,river,n.,강,,,The river runs through the city.,그 강은 도시를 가로질러 흐른다.
중2-1,river,n.,강,,,We swam in the river last summer.,우리는 지난여름에 강에서 수영했다.
중2-1,river,n.,강,,,This river is very clean.,이 강은 아주 깨끗하다.
중2-1,road,n.,"길, 도로",street,,Be careful when you cross the road.,길을 건널 때 조심해라.
중2-1,road,n.,"길, 도로",street,,This road leads to the beach.,이 길은 해변으로 이어진다.
중2-1,road,n.,"길, 도로",street,,The road was wet after the rain.,비가 온 뒤 도로가 젖어 있었다.
중2-1,robot,n.,로봇,,,The robot cleans the floor.,그 로봇은 바닥을 청소한다.
중2-1,robot,n.,로봇,,,He built a small robot.,그는 작은 로봇을 만들었다.
중2-1,robot,n.,로봇,,,Robots help people at work.,로봇은 사람들의 일을 돕는다.
중2-1,rock,n.,"바위, 돌",stone,,He sat on a large rock.,그는 큰 바위에 앉았다.
중2-1,rock,n.,"바위, 돌",stone,,The children threw rocks into the water.,아이들이 물에 돌을 던졌다.
중2-1,rock,n.,"바위, 돌",stone,,A rock fell from the mountain.,산에서 바위가 떨어졌다.
중2-1,room,n.,방,,,My room is on the second floor.,내 방은 2층에 있다.
중2-1,room,n.,방,,,"Clean your room, please.",방을 치워 주세요.
중2-1,room,n.,방,,,The room is bright and warm.,그 방은 밝고 따뜻하다.
중2-1,rose,n.,장미,,,He gave her a red rose.,그는 그녀에게 빨간 장미를 주었다.
중2-1,rose,n.,장미,,,Roses smell wonderful.,장미는 향이 좋다.
중2-1,rose,n.,장미,,,The rose has sharp thorns.,장미에는 날카로운 가시가 있다.
중2-1,run,v.,"달리다, 뛰다",,,He runs every morning.,그는 매일 아침 달린다.
중2-1,run,v.,"달리다, 뛰다",,,She ran to catch the bus.,그녀는 버스를 타려고 뛰었다.
중2-1,run,v.,운영하다,manage,,My uncle runs a small shop.,우리 삼촌은 작은 가게를 운영한다.
중2-1,run,v.,운영하다,manage,,They run a cooking class on Sundays.,그들은 일요일에 요리 교실을 운영한다.
중2-1,run away,phr.,"달아나다, 도망치다",escape,,The dog ran away from the house.,개가 집에서 달아났다.
중2-1,run away,phr.,"달아나다, 도망치다",escape,,Do not run away from your problems.,문제로부터 도망치지 마라.
중2-1,run away,phr.,"달아나다, 도망치다",escape,,The thief ran away quickly.,도둑이 빠르게 도망쳤다.
중2-1,sad,adj.,슬픈,unhappy,"happy, happy",The movie made me sad.,그 영화는 나를 슬프게 했다.
중2-1,sad,adj.,슬픈,unhappy,"happy, happy",She looked sad this morning.,그녀는 오늘 아침 슬퍼 보였다.
중2-1,sad,adj.,슬픈,unhappy,"happy, happy",It is a sad story.,그것은 슬픈 이야기다.
중2-1,safe,adj.,안전한,"secure, out of danger","dangerous, dangerous, toxic",This place is safe for children.,이곳은 아이들에게 안전하다.
중2-1,safe,adj.,안전한,"secure, out of danger","dangerous, dangerous, toxic",Is it safe to swim here?,여기서 수영해도 안전한가요?
중2-1,safe,adj.,안전한,"secure, out of danger","dangerous, dangerous, toxic",Everyone came back safe.,모두 무사히 돌아왔다.
중2-1,salad,n.,샐러드,,,She made a fresh salad.,그녀는 신선한 샐러드를 만들었다.
중2-1,salad,n.,샐러드,,,I eat salad for lunch.,나는 점심으로 샐러드를 먹는다.
중2-1,salad,n.,샐러드,,,This salad needs more salt.,이 샐러드는 소금이 더 필요하다.
중2-1,sale,n.,"판매, 할인",,,The shop has a big sale.,그 가게는 큰 할인 행사를 한다.
중2-1,sale,n.,"판매, 할인",,,These shoes are on sale.,이 신발은 할인 중이다.
중2-1,sale,n.,"판매, 할인",,,The sale ends on Sunday.,할인은 일요일에 끝난다.
중2-1,salt,n.,소금,,,Add a little salt to the soup.,국에 소금을 조금 넣어라.
중2-1,salt,n.,소금,,,Too much salt is bad for health.,소금을 너무 많이 먹으면 건강에 나쁘다.
중2-1,salt,n.,소금,,,Sea water contains salt.,바닷물에는 소금이 들어 있다.
중2-1,same,adj.,같은,identical,,We are in the same class.,우리는 같은 반이다.
중2-1,same,adj.,같은,identical,,She wore the same dress.,그녀는 같은 원피스를 입었다.
중2-1,same,adj.,같은,identical,,The answer is the same.,답이 같다.
중2-1,sand,n.,모래,,,The children played in the sand.,아이들이 모래에서 놀았다.
중2-1,sand,n.,모래,,,The sand was hot under my feet.,모래가 발밑에서 뜨거웠다.
중2-1,sand,n.,모래,,,We built a castle out of sand.,우리는 모래로 성을 만들었다.
중2-1,sandwich,n.,샌드위치,,,She made a cheese sandwich.,그녀는 치즈 샌드위치를 만들었다.
중2-1,sandwich,n.,샌드위치,,,I ate a sandwich for lunch.,나는 점심으로 샌드위치를 먹었다.
중2-1,sandwich,n.,샌드위치,,,This sandwich is too big.,이 샌드위치는 너무 크다.
중2-1,save,v.,"아끼다, 절약하다",conserve,"spend, waste",We should save water.,우리는 물을 아껴야 한다.
중2-1,save,v.,"아끼다, 절약하다",conserve,"spend, waste",Turn off the light to save energy.,에너지를 아끼려면 불을 꺼라.
중2-1,save,v.,"저축하다, 모으다",put aside,"spend, waste",I am saving money for a bike.,나는 자전거를 사려고 돈을 모으고 있다.
중2-1,save,v.,"저축하다, 모으다",put aside,"spend, waste",She saves ten dollars every week.,그녀는 매주 10달러를 저축한다.
중2-1,save,v.,구하다,rescue,"spend, waste",The doctor saved his life.,의사가 그의 목숨을 구했다.
중2-1,save,v.,구하다,rescue,"spend, waste",He saved a puppy from the river.,그는 강에서 강아지를 구했다.
중2-1,say,v.,말하다,,,"Say it again, please.",다시 말해 주세요.
중2-1,say,v.,말하다,,,She said nothing.,그녀는 아무 말도 하지 않았다.
중2-1,say,v.,말하다,,,He is saying goodbye.,그는 작별 인사를 하고 있다.
중2-1,scared,adj.,"겁먹은, 무서워하는","afraid, frightened",,The child looked scared.,그 아이는 겁먹은 것처럼 보였다.
중2-1,scared,adj.,"겁먹은, 무서워하는","afraid, frightened",,I am scared of high places.,나는 높은 곳을 무서워한다.
중2-1,scared,adj.,"겁먹은, 무서워하는","afraid, frightened",,She was scared by the loud noise.,그녀는 큰 소리에 놀랐다.
중2-1,school,n.,학교,,,I go to school by bus.,나는 버스로 학교에 간다.
중2-1,school,n.,학교,,,The school has a big playground.,그 학교에는 큰 운동장이 있다.
중2-1,school,n.,학교,,,School starts in March.,학교는 3월에 시작한다.
중2-1,science,n.,과학,,,Science is my favorite subject.,과학은 내가 제일 좋아하는 과목이다.
중2-1,science,n.,과학,,,She wants to study science in college.,그녀는 대학에서 과학을 공부하고 싶어 한다.
중2-1,science,n.,과학,,,Science helps us understand nature.,과학은 우리가 자연을 이해하도록 돕는다.
중2-1,scissors,n.,가위,,,Cut the paper with scissors.,가위로 종이를 잘라라.
중2-1,scissors,n.,가위,,,The scissors are on the desk.,가위는 책상 위에 있다.
중2-1,scissors,n.,가위,,,Be careful with the scissors.,가위를 조심해라.
중2-1,score,"n., v.","점수, 득점하다",,,My score on the test was high.,내 시험 점수는 높았다.
중2-1,score,"n., v.","점수, 득점하다",,,He scored two goals in the game.,그는 경기에서 두 골을 넣었다.
중2-1,score,"n., v.","점수, 득점하다",,,The final score was three to one.,최종 점수는 3 대 1이었다.
중2-1,sea,n.,바다,ocean,"land, land",We swam in the sea.,우리는 바다에서 수영했다.
중2-1,sea,n.,바다,ocean,"land, land",The sea is calm today.,오늘 바다가 잔잔하다.
중2-1,sea,n.,바다,ocean,"land, land",Many fish live in the sea.,많은 물고기가 바다에 산다.
중2-1,season,n.,"계절, 철",,,Spring is my favorite season.,봄은 내가 제일 좋아하는 계절이다.
중2-1,season,n.,"계절, 철",,,Korea has four seasons.,한국에는 사계절이 있다.
중2-1,season,n.,"계절, 철",,,This fruit is in season now.,이 과일은 지금이 제철이다.
중2-1,second,adj.,두 번째의,,,She won second place.,그녀는 2등을 했다.
중2-1,second,adj.,두 번째의,,,This is my second visit.,이번이 두 번째 방문이다.
중2-1,second,adj.,두 번째의,,,Read the second sentence.,두 번째 문장을 읽어라.
중2-1,see,v.,보다,,,I can see the mountain.,나는 산이 보인다.
중2-1,see,v.,보다,,,She saw him at the store.,그녀는 가게에서 그를 봤다.
중2-1,see,v.,보다,,,We are seeing a movie tonight.,우리는 오늘 밤 영화를 본다.
중2-1,sell,v.,팔다,,"buy, purchase, buy, purchase",They sell fresh bread here.,그들은 여기서 신선한 빵을 판다.
중2-1,sell,v.,팔다,,"buy, purchase, buy, purchase",He sold his old bicycle.,그는 낡은 자전거를 팔았다.
중2-1,sell,v.,팔다,,"buy, purchase, buy, purchase",The shop is selling winter clothes.,그 가게는 겨울옷을 팔고 있다.
중2-1,send,v.,보내다,,"receive, receive",I will send you a message tonight.,오늘 밤에 메시지를 보낼게.
중2-1,send,v.,보내다,,"receive, receive",She sent a card to her teacher.,그녀는 선생님께 카드를 보냈다.
중2-1,send,v.,보내다,,"receive, receive",He is sending the package now.,그는 지금 소포를 보내고 있다.
중2-2,service,n.,"서비스, 봉사",,,The service at that shop is good.,그 가게는 서비스가 좋다.
중2-2,service,n.,"서비스, 봉사",,,She does volunteer service on weekends.,그녀는 주말에 봉사 활동을 한다.
중2-2,service,n.,"서비스, 봉사",,,The bus service stops at ten.,버스 운행은 10시에 끝난다.
중2-2,set,v.,"놓다, 차리다, 정하다",,,Please set the table for dinner.,저녁 식탁을 차려 주세요.
중2-2,set,v.,"놓다, 차리다, 정하다",,,She set the box on the floor.,그녀는 상자를 바닥에 놓았다.
중2-2,set,v.,"놓다, 차리다, 정하다",,,We set a date for the meeting.,우리는 회의 날짜를 정했다.
중2-2,seven,num.,"일곱, 7",,,There are seven days in a week.,일주일은 7일이다.
중2-2,seven,num.,"일곱, 7",,,The train leaves at seven.,기차는 7시에 떠난다.
중2-2,seven,num.,"일곱, 7",,,She has seven cousins.,그녀는 사촌이 일곱 명이다.
중2-2,she,pron.,그녀,,,She is my sister.,그녀는 내 여동생이다.
중2-2,she,pron.,그녀,,,She runs every morning.,그녀는 매일 아침 달린다.
중2-2,she,pron.,그녀,,,She said nothing to me.,그녀는 나에게 아무 말도 하지 않았다.
중2-2,ship,n.,"배, 선박",,,The ship left the port at dawn.,배는 새벽에 항구를 떠났다.
중2-2,ship,n.,"배, 선박",,,We traveled by ship.,우리는 배로 여행했다.
중2-2,ship,n.,"배, 선박",,,That ship carries cars.,저 배는 자동차를 실어 나른다.
중2-2,shirt,n.,셔츠,,,He wore a white shirt.,그는 흰 셔츠를 입었다.
중2-2,shirt,n.,셔츠,,,This shirt is too tight.,이 셔츠는 너무 조인다.
중2-2,shirt,n.,셔츠,,,She washed my shirt.,그녀가 내 셔츠를 빨아 주었다.
중2-2,shoe,n.,신발,,,My shoe is too small.,내 신발이 너무 작다.
중2-2,shoe,n.,신발,,,These shoes are very comfortable.,이 신발은 아주 편하다.
중2-2,shoe,n.,신발,,,She bought new shoes.,그녀는 새 신발을 샀다.
중2-2,shop,"n., v.","가게, 쇼핑하다",store,,There is a flower shop near here.,이 근처에 꽃 가게가 있다.
중2-2,shop,"n., v.","가게, 쇼핑하다",store,,She shops online every weekend.,그녀는 주말마다 온라인에서 쇼핑한다.
중2-2,shop,"n., v.","가게, 쇼핑하다",store,,The shop opens at nine.,그 가게는 9시에 문을 연다.
중2-2,short,adj.,짧은,brief,"long, long, tall",She has short hair.,그녀는 머리가 짧다.
중2-2,short,adj.,짧은,brief,"long, long, tall",We took a short break.,우리는 짧게 쉬었다.
중2-2,short,adj.,짧은,brief,"long, long, tall",The meeting was short.,회의는 짧았다.
중2-2,should,aux.,~해야 한다,ought to,,You should sleep early.,너는 일찍 자야 한다.
중2-2,should,aux.,~해야 한다,ought to,,We should help each other.,우리는 서로 도와야 한다.
중2-2,should,aux.,~해야 한다,ought to,,She should be here by now.,그녀는 지금쯤 와 있어야 한다.
중2-2,show,"v., n.",보여 주다,display,"hide, hide",Show me your notebook.,네 공책을 보여 줘.
중2-2,show,"v., n.",보여 주다,display,"hide, hide",He showed us the way to the station.,그는 우리에게 역으로 가는 길을 알려 주었다.
중2-2,show,"v., n.","공연, 프로그램",program,"hide, hide",The show starts at seven.,공연은 7시에 시작한다.
중2-2,show,"v., n.","공연, 프로그램",program,"hide, hide",We watched a magic show.,우리는 마술 공연을 보았다.
중2-2,shy,adj.,"수줍은, 부끄러워하는",timid,,He is too shy to speak in class.,그는 너무 수줍어서 수업에서 말을 못 한다.
중2-2,shy,adj.,"수줍은, 부끄러워하는",timid,,She was shy at first.,그녀는 처음에는 수줍어했다.
중2-2,shy,adj.,"수줍은, 부끄러워하는",timid,,The shy boy stood behind his mother.,수줍은 소년은 어머니 뒤에 서 있었다.
중2-2,sick,adj.,"아픈, 병든","ill, unwell",,He was sick yesterday.,그는 어제 아팠다.
중2-2,sick,adj.,"아픈, 병든","ill, unwell",,She stayed home because she was sick.,그녀는 아파서 집에 있었다.
중2-2,sick,adj.,"아픈, 병든","ill, unwell",,My dog got sick last week.,내 개가 지난주에 아팠다.
중2-2,side,n.,"쪽, 옆",,,The shop is on the left side.,가게는 왼쪽에 있다.
중2-2,side,n.,"쪽, 옆",,,He sat by my side.,그는 내 옆에 앉았다.
중2-2,side,n.,"쪽, 옆",,,Write on both sides of the paper.,종이 양면에 써라.
중2-2,sing,v.,노래하다,,,She sings very well.,그녀는 노래를 아주 잘한다.
중2-2,sing,v.,노래하다,,,We sang a song together.,우리는 함께 노래를 불렀다.
중2-2,sing,v.,노래하다,,,Birds are singing in the tree.,새들이 나무에서 노래하고 있다.
중2-2,sister,n.,"언니, 누나, 여동생",,"brother, brother",My sister is a teacher.,내 언니는 교사다.
중2-2,sister,n.,"언니, 누나, 여동생",,"brother, brother",She has two sisters.,그녀는 여자 형제가 둘이다.
중2-2,sister,n.,"언니, 누나, 여동생",,"brother, brother",His sister plays the piano.,그의 누나는 피아노를 친다.
중2-2,sit,v.,앉다,take a seat,,Please sit next to me.,내 옆에 앉아 주세요.
중2-2,sit,v.,앉다,take a seat,,He sat quietly in the corner.,그는 구석에 조용히 앉아 있었다.
중2-2,sit,v.,앉다,take a seat,,She is sitting on the bench.,그녀는 벤치에 앉아 있다.
중2-2,six,num.,"여섯, 6",,,I get up at six.,나는 6시에 일어난다.
중2-2,six,num.,"여섯, 6",,,Six students were absent.,학생 여섯 명이 결석했다.
중2-2,six,num.,"여섯, 6",,,The box holds six eggs.,그 상자에는 달걀 여섯 개가 들어간다.
중2-2,size,n.,"크기, 치수",,,What size do you wear?,어떤 치수를 입으시나요?
중2-2,size,n.,"크기, 치수",,,The two rooms are the same size.,두 방은 크기가 같다.
중2-2,size,n.,"크기, 치수",,,This shirt is the wrong size.,이 셔츠는 치수가 안 맞는다.
중2-2,skate,v.,스케이트를 타다,,,We skate on the ice in winter.,우리는 겨울에 얼음 위에서 스케이트를 탄다.
중2-2,skate,v.,스케이트를 타다,,,She skated very well.,그녀는 스케이트를 아주 잘 탔다.
중2-2,skate,v.,스케이트를 타다,,,They are skating in the park.,그들은 공원에서 스케이트를 타고 있다.
중2-2,ski,v.,스키를 타다,,,We ski every winter.,우리는 매년 겨울에 스키를 탄다.
중2-2,ski,v.,스키를 타다,,,He skied down the hill.,그는 언덕을 스키로 내려왔다.
중2-2,ski,v.,스키를 타다,,,She is skiing for the first time.,그녀는 처음으로 스키를 타고 있다.
중2-2,skin,n.,"피부, 껍질",,,The sun is bad for your skin.,햇볕은 피부에 나쁘다.
중2-2,skin,n.,"피부, 껍질",,,Peel the skin off the apple.,사과 껍질을 벗겨라.
중2-2,skin,n.,"피부, 껍질",,,Her skin is very soft.,그녀의 피부는 아주 부드럽다.
중2-2,skirt,n.,치마,,,She wore a long skirt.,그녀는 긴 치마를 입었다.
중2-2,skirt,n.,치마,,,This skirt is too short.,이 치마는 너무 짧다.
중2-2,skirt,n.,치마,,,The skirt has a pocket.,그 치마에는 주머니가 있다.
중2-2,sky,n.,하늘,,"ground, ground",The sky is clear today.,오늘 하늘이 맑다.
중2-2,sky,n.,하늘,,"ground, ground",Birds flew across the sky.,새들이 하늘을 가로질러 날았다.
중2-2,sky,n.,하늘,,"ground, ground",The sky turned dark before the storm.,폭풍 전에 하늘이 어두워졌다.
중2-2,sleep,"v., n.","자다, 잠",,wake,I sleep eight hours every night.,나는 매일 밤 여덟 시간 잔다.
중2-2,sleep,"v., n.","자다, 잠",,wake,He slept well last night.,그는 어젯밤에 잘 잤다.
중2-2,sleep,"v., n.","자다, 잠",,wake,The baby is sleeping now.,아기가 지금 자고 있다.
중2-2,slow,adj.,느린,,"fast, quick, fast, quick",This computer is very slow.,이 컴퓨터는 아주 느리다.
중2-2,slow,adj.,느린,,"fast, quick, fast, quick",He is a slow reader.,그는 읽는 속도가 느리다.
중2-2,slow,adj.,느린,,"fast, quick, fast, quick",The bus was slow because of traffic.,차가 막혀서 버스가 느렸다.
중2-2,small,adj.,작은,little,"big, large, big, large",We live in a small house.,우리는 작은 집에 산다.
중2-2,small,adj.,작은,little,"big, large, big, large",This shirt is too small.,이 셔츠는 너무 작다.
중2-2,small,adj.,작은,little,"big, large, big, large",She has a small dog.,그녀는 작은 개를 기른다.
중2-2,smell,"v., n.","냄새가 나다, 냄새",,,The flowers smell sweet.,그 꽃들은 향기롭다.
중2-2,smell,"v., n.","냄새가 나다, 냄새",,,I smell something burning.,뭔가 타는 냄새가 난다.
중2-2,smell,"v., n.","냄새가 나다, 냄새",,,The smell of bread filled the kitchen.,빵 냄새가 부엌에 가득했다.
중2-2,smile,"v., n.","미소 짓다, 미소",,"cry, cry",She smiled at me kindly.,그녀는 나에게 상냥하게 미소 지었다.
중2-2,smile,"v., n.","미소 짓다, 미소",,"cry, cry",He has a warm smile.,그는 따뜻한 미소를 가졌다.
