번호,단어,뜻
468,come up with,"~을 생각해 내다, ~을 떠올리다, 제시하다"
469,companion,"동행, 동반자, 동료, 친구"
470,comparison,비교
471,complete,"작성하다, 마치다, 완료하다; 완전한"
472,composition,"구성, 성분의 조합, (음악의) 작품"
473,confusion,혼란
474,conscious,"의식적인, 의식의"
475,consciously,의식적으로
476,consist of,~로 구성되다
477,constantly,"끊임없이, 지속적으로"
478,contain,"포함하다, (~이) 들어 있다, 담다"
479,conversely,반대로
480,coordination,"조화, 조정, (신체) 조정력, 협응, 협조"
481,counterpart,"상대(방), 대응 관계에 있는 사람[것], 대응물[자], (쌍을 이루는) 한 축, (~에) 상응하는 존재"
482,critically,"비판적으로, 중요하게, 결정적으로"
483,decade,10년
484,definition,정의
485,density,"밀도, 농도, 밀집 상태"
486,disaster,"재난, 재앙, 재해, 큰 실패"
487,discern,"분간하다, 식별하다, 알아내다, 포착하다, 구분하다, 분별하다"
488,discrimination,"차별, 구별, 식별"
489,dismiss,"일축하다, 묵살하다, 무시하다, 떠나게 하다, 해고하다"
490,display,"전시하다, 보이다, 나타내다, 구애 동작을 하다, 표현하다; 전시, 표현"
491,distortion,"왜곡, 곡해"
492,dramatically,"매우, 극적으로"
493,efficiency,"효율(성), 능력, 유효성"
494,element,(구성) 요소
495,emergence,"출현, 등장"
496,emerging,"등장하기 시작하는, 새로 만들어진, 새로 나타나는, 새로 등장하는, 최근 생겨난, 신생의, 신흥의"
497,empathy,"공감, 감정 이입"
498,emphasize,강조하다
499,engage,"끌어들이다, 관여하다, 주의를(마음을) 끌다, 사용하다"
500,entail,수반하다
501,entry,"출품작, 응시자 수, 응시, 진입, 참가, 입장"
502,evaluation,평가
503,evolve,"진화하다, 발달하다, 발달시키다, 생성하다"
504,extent,"정도, 범위"
505,extraordinary,"보기 드문, 놀라운, 비범한, 대단한, 뛰어난"
506,extreme,"극단, 극도; 극단적인, 극한의"
507,figure out,"~을 알아내다, ~을 생각해 내다"
508,format,"형식, (전체) 구성, 포맷"
509,frame,"구성[구상]하다, 짜다, (특정한 관점으로) 규정하다, 제시하다, 표현하다; 틀, 상태, 액자"
510,fulfillment,"충족감, 충족, 이행, 만족감, 성취, 실현"
511,fundamentally,"본질적으로, 기본적으로, 근본적으로"
512,harsh,"혹독한, 가혹한"
513,ignore,"무시하다, 간과하다"
514,impact,영향
515,infant,아기; 유아
516,informed,"정보에 근거한, 사실 이해에 입각한, 깊이 있게 아는, 학식이 풍부한, 견문이 넓은, 잘 아는"
517,infrastructure,"사회[공공] 기반 시설, 인프라"
518,inhabit,"서식하다, (특정 지역에) 거주하다, 살다, ~에 깃들다"
519,instinct,"본능, 직감, 직관"
520,insufficient,"불충분한, 부족한"
521,interfere with,~을 저해[방해]하다
522,invaluable,"매우 귀중한, 매우 유용한"
523,invisible,"보이지 않는, 눈에 띄지 않는"
524,involvement,"개입, 참여, 포함, 연루, 관여"
525,isolated,"고립된, 유리된, 분리된, 격리된"
526,justification,"정당화, 명분, 구실, 변명"
527,justify,정당화하다
528,morality,도덕성
529,mutually,"상호 간에, 서로, 상호적으로"
530,navigate,"길을 찾다, 방향을 읽다, (길을) 안내하다, 헤쳐 나가다, 항행[항해]하다, 탐색하다"
531,notice,"알아차리다, 알아채다, 인지하다, 주목하다; 공지"
532,novel,"소설; 새로운, 참신한"
533,occasionally,"가끔, 이따금, 때때로"
534,occur,"발생하다, 일어나다, 생기다"
535,ordinary,"보통의, 평범한, 일상적인"
536,orientation,"방향(성), 지향(성)"
537,overcome,극복하다
538,paradigm,"패러다임, 인식틀, 전형적인 예, 사고 체계"
539,participant,참가자
540,partition,"구역을 나누다, 분할하다, 나누다; 칸막이"
541,passive,"수동적인, 수동의"
542,permanently,영구적으로
543,pioneer,"개척하다; 선구자, 개척자; 개척자의"
544,policy,"정책, 방침, (보험) 증권, 방책"
545,pose,"(위협·문제 등을) 제기하다, 야기하다"
546,possession,"(보통 복수로) 소유물, 소유품, 소유"
547,practice,"관행, 실천, 실무, 관습"
548,preservation,"보존, 저장, 보호, 보관"
549,priority,"우선순위, 우선 사항, 먼저[우선] 해야 할 일"
550,proceed,"진행되다, 계속 진행하다, 나아가다"
551,promotion,"증진, 승진, 홍보[판촉] (활동)"
552,proposition,"명제, 제안, 일, 문제, 가치 제안, 진술"
553,prospect,"가능성, 가망, 전망"
554,psychological,심리적인
555,readily,"쉽게, 선뜻, 손쉽게"
556,reflective,"숙고하는, 성찰적인, 반영하는, 사색하는"
557,remote,"먼, 외진, 외딴; 원격의"
558,repetitive,반복적인
559,reproduction,"번식, 복제, 재생산"
560,resident,"주민, 거주민[거주자]"
561,resolution,"해결(책), 결심, 해상도, 선명도"
562,resource,자원
563,respond,"응답하다, 대답하다, 대응[반응]하다"
564,sacrifice,희생하다; 희생
565,secure,"고정시키다, 확보하다, 얻어내다; 안전한"
566,sequence,"배열하다; 연쇄, 차례, 연속, 순서"
567,share,"공유하다, 말하다; 비율, 점유율, 몫"
568,shift,"이동시키다, 이동하다, 바뀌다; 전환, 변화, (근무) 교대"
569,sigh,한숨을 쉬다; 한숨
570,signal,"신호를 보내다, 알리다, 나타내다; 신호"
571,signature,"표시, 기호, 흔적,  서명; 대표의"
572,simultaneously,동시에
573,span,"(거리·범위를) 뻗다, 걸치다; 운행 시간대의 범위"
574,species,종(種)
575,stakeholder,"이해관계자, 이해 당사자"
576,standard,"표준, 기준; 일반적인, 표준의"
577,stimulus,자극(pl. stimuli)
578,substitute,"대체하다, 대용하다; 대체물, 대용품, 대응물"
579,superior,"우세한, 뛰어난, 우월한, 더 우수한"
580,supplement,"보완하다, 보충하다; 보충제"
581,temporary,"일시적인, 임시의"
582,theorist,이론가
583,thorough,"철저한, 면밀한"
584,trade-off,"균형, 교환, 절충, 타협, 상충 관계,  (타협을 위한) 거래"
585,trick,"속이다; 전략, 속임수, 묘기, 마술"
586,typical,"전형적인, 평범한"
587,unfold,"전개되다, 펼쳐지다, 펼쳐 보이다"
588,utility,"유용성, 공공 시설, (가스, 수도, 전화, 전기 등의) 공익 사업, 효용"
589,vague,"모호한, 어렴풋한, 막연한, 애매한"
590,vary,"다양하다, 각기 다르다, (상황에 따라) 달라지다"
591,via,"~을 통하여, ~을 통해"
592,well-being,"(건강과) 행복, 복지, 풍요"
593,wetland,습지
594,with regard to,~에 있어서[관해서]
595,with respect to,"~에 관하여, ~과 관련하여"
