레벨,갈래,표제어,한자,한자 확인,분류,뜻,예문,현대어 풀이,출처
중2-2,수능 어휘,항체,抗體,확인,과학,항원과 결합하여 항원의 독성을 무력화하는 단백질,항체는 항원 항체 반응을 통해 병원체를 제거한다.,,
중2-2,수능 어휘,삼투압,滲透壓,확인,과학,농도가 다른 두 용액이 반투막을 사이에 둘 때 생기는 압력,식물 뿌리세포는 삼투압 현상을 이용해 물을 흡수한다.,,
중2-2,수능 어휘,모세관 현상,毛細管,확인,과학,액체가 가는 관을 따라 위로 올라가거나 내려가는 현상,모세관 현상 덕분에 높은 나무 꼭대기까지 물이 이동한다.,,
중2-2,수능 어휘,알고리즘,Algorithm,확인,기술,어떤 문제를 해결하기 위해 정해진 단계적 절차,검색 엔진은 효율적인 알고리즘으로 정보를 추출한다.,,
중2-2,수능 어휘,인공지능,AI,확인,기술,"인간의 학습, 추론, 감각 능력을 컴퓨터로 구현함",딥러닝 알고리즘의 발전으로 인공지능 성능이 비약했다.,,
중2-2,수능 어휘,머신러닝,Machine Learn,확인,기술,데이터를 학습하여 스스로 규칙을 찾아내는 AI 분야,머신러닝은 지도학습과 비지도학습으로 구분된다.,,
중2-2,수능 어휘,딥러닝,Deep Learning,확인,기술,인공신경망을 기반으로 한 고도화된 머신러닝 기법,딥러닝은 이미지 인식과 자연어 처리에서 성과를 낸다.,,
중2-2,수능 어휘,반도체,半導體,확인,기술,전기 전도도가 도체와 부도체의 중간 정도인 물질,메모리 반도체는 정보의 저장 및 기억을 담당한다.,,
중2-2,수능 어휘,디스플레이,Display,확인,기술,전기적 신호를 시각적 이미지로 변환하여 출력하는 장치,OLED는 자발광 특성을 가져 명암비가 우수하다.,,
중2-2,수능 어휘,암호화,Encryption,확인,기술,데이터를 승인되지 않은 사람이 읽지 못하도록 변환함,양자 암호 통신은 보안성을 획기적으로 높인 기술이다.,,
중2-2,수능 어휘,블록체인,Blockchain,확인,기술,분산 네트워크를 통해 거래 기록을 안전하게 저장함,블록체인은 위변조가 불가능한 분산 장부 기술이다.,,
중2-3,사자성어,공명정대,公明正大,확인,,사리사욕 없이 정당하고 떳떳함,공명정대한 자세로 판결을 내리다.,,
중2-3,사자성어,관포지교,管鮑之交,확인,,관중과 포숙아의 우정처럼 매우 친밀한 우정,두 인물의 깊은 신뢰와 관포지교의 우정.,,
중2-3,사자성어,괄목상대,刮目相對,확인,,눈을 비비고 상대를 다시 봄 (실력이 부쩍 늚),단기간에 성장하여 괄목상대할 성과를 내다.,,
중2-3,사자성어,권선징악,勸善懲惡,확인,,선을 권하고 악을 벌함,고전소설의 대표적인 주제 의식인 권선징악.,,
중2-3,사자성어,권모술수,權謀術數,확인,,목적 달성을 위해 꾀나 수단을 교묘하게 씀,권모술수가 판치는 조정에서 정직함을 지키다.,,
중2-3,사자성어,기사회생,起死回生,확인,,죽을 위기에서 다시 살아남,기사회생의 기회로 역전에 성공하다.,,
중2-3,사자성어,기진맥진,氣盡脈盡,확인,,기운과 맥이 다 빠져 힘이 전혀 없음,험난한 여정을 마친 후 기진맥진하여 쓰러지다.,,
중2-3,사자성어,난형난제,難兄難弟,확인,,우열을 가리기 힘듦,두 사람의 실력이 난형난제라 승부를 내기 어렵다.,,
중2-3,사자성어,노심초사,勞心焦思,확인,,몹시 마음을 쓰며 애를 태움,자식의 안위를 노심초사 걱정하는 어머니.,,
중2-3,사자성어,녹음방초,綠陰芳草,확인,,푸른 숲과 향기로운 풀 (여름의 아름다운 자연),녹음방초 우거진 계절의 아름다움을 노래하다.,,
중2-3,사자성어,대동소이,大同小異,확인,,거의 같고 차이가 미미함,두 이론의 논지 전개 방식은 대동소이하다.,,
중2-3,사자성어,독불장군,獨不將軍,확인,,무슨 일이든 남의 말을 듣지 않고 혼자 처리함,타인의 의견을 무시하는 독불장군식 태도.,,
중2-3,사자성어,동가홍상,同價紅裳,확인,,같은 값이면 다홍치마,비슷한 조건이라면 동가홍상으로 좋은 것을 고르다.,,
중2-3,개념어,가설과 검증,,,비문학,문제 해결을 위해 임시로 제시한 추정(가설)을 실험이나 데이터로 확증하는 과정,[가설] A 약물이 세균을 억제할 것이다 → [실험] 균주 배양 실험을 통해 이를 검증함.,,
중2-3,개념어,정의 (Definition),,,비문학,어떤 개념의 뜻과 범위를 명확하게 밝혀 정의 내리는 진술 방식,"""인플레이션이란 통화량이 증가하여 물가가 지속적으로 상승하는 현상이다.""",,
중2-3,개념어,비교와 대조,,,비문학,"두 대상의 공통점을 밝히는 것은 '비교', 차이점을 밝히는 것은 '대조'","자공차와 기차의 공통점(교통수단)과 차이점(동력원, 선로 필요 유무)을 설명함.",,
중2-3,개념어,분류와 분석,,,비문학,"대상을 일정한 기준에 따라 나누는 것은 '분류', 구성 요소를 나누어 파헤치는 것은 '분석'","문학을 시/소설/수필로 나누면 '분류', 시계를 톱니바퀴/바늘/태엽으로 나누면 '분석'.",,
중2-3,개념어,통념과 비판,,,비문학,"일반 사람들이 당연하게 믿는 생각(통념)을 제시한 후, 그것의 오류를 비판함","""흔히 유기농 식품이 무조건 건강에 좋다고 생각하지만(통념), 실제로는...""",,
중2-3,개념어,인과 관계,,,비문학,원인(Cause)과 결과(Effect)로 이루어진 논리적 관계,"""비가 많이 내려서(원인) 강물이 넘쳤다(결과).""",,
중2-3,개념어,상관관계,,,비문학,두 변수 사이에 한쪽이 변함에 따라 다른 쪽도 변하는 통계적 관계 (원인이 아닐 수 있음),"""아이스크림 판매량과 溺死(익사) 사고율은 양의 상관관계를 보인다."" (원인은 여름철 기온)",,
중2-3,개념어,문제와 해결 (P-S 구조),,,비문학,사회적·학술적 문제점(Problem)을 먼저 진단하고 그 대안/해결책(Solution)을 제시하는 구조,"미세먼지 심화 원인을 분석한 뒤, 대기오염 물질 배출 감축안을 제안함.",,
중2-3,개념어,실증주의,,,비문학,경험적 사실과 측정 가능한 데이터를 통해서만 진리를 검증할 수 있다는 철학적 태도,추상적 형이상학을 배척하고 실험과 통계적 관찰 결과만을 신뢰하는 연구 방식.,,
중2-3,고전,임 / 님,,,대상,"임금, 연인, 스승, 조국",임을 향한 일편단심,,
중2-3,고전,알외다 / 아롸다,,,언어,"아뢰다, 말씀드리다",임께 알외리라 (임에게 말씀드리리라),,
중2-3,고전,알외다 / 아롸다,,,언어,"아뢰다, 말씀드리다",놀애〮ᄅᆞᆯ〮 브르리〮 하〯ᄃᆡ〮 天命을〮 모ᄅᆞ〮실ᄊᆡ〮 ᄭᅮ〮므로〮 알외〮시니〮,,용비어천가
중2-3,고전,알외다 / 아롸다,,,언어,"아뢰다, 말씀드리다",赤帝 니러〮나시〮릴ᄊᆡ〮 白帝 ᄒᆞᆫ 갈해〮 주그〮니〮 火德之王ᄋᆞᆯ 神婆ㅣ 알외〮ᅀᆞᄫᆞ〮니〮,,용비어천가
중2-3,고전,알외다 / 아롸다,,,언어,"아뢰다, 말씀드리다",도ᄌᆞᄀᆞᆯ〮 나ᅀᅡ〮가〮 보〮샤〮 일후〮믈〮 알외〮시니〮 聖武ㅣ어〮시니〮 나〮아〮오리〮ᅌᅵᆺ가〮,,용비어천가
중2-3,고전,알외다 / 아롸다,,,언어,"아뢰다, 말씀드리다",君位를〮 보〯ᄇᆡ〮라〮 ᄒᆞᆯᄊᆡ〮 큰〮 命을〮 알외〮요〮리라〮 바ᄅᆞᇗ〮 우희〮 金塔이〮 소ᄉᆞ〮니〮,,용비어천가
중2-3,고전,니르다,,,언어,"말하다, 이르다",뉘라 니르리 (누가 말하겠는가),,
중2-3,고전,니르다,,,언어,"말하다, 이르다",至孝ㅣ 뎌〮려〮ᄒᆞ〮실ᄊᆡ〮 ᄂᆞ〮ᄆᆞᆫ〮 즐〮기ᄂᆞᆫ〮 나〮ᄅᆞᆯ〮 아니〮 즐〮겨〮 聖經을〮 니르시〮니〮,,용비어천가
중2-3,고전,바니다,,,행동,다니다,저 저자가 바니다 (저 시장을 다니다),,
중2-3,고전,치어다보다,,,행동,위로 쳐다보다,하늘을 치어다보고,,
중2-3,고전,굽어보다,,,행동,아래를 내려다보다,굽어보면 푸른 시냇물,,
중2-3,수능 어휘,빅데이터,Big Data,확인,기술,기존 방식으로는 처리하기 힘든 막대한 양의 데이터,빅데이터 분석은 마케팅 및 소비 예측에 활용된다.,,
중2-3,수능 어휘,사물인터넷,IoT,확인,기술,사물에 센서를 부착하여 실시간 데이터를 주고받음,사물인터넷 기술은 스마트홈 구축의 핵심이다.,,
중2-3,수능 어휘,클라우드,Cloud,확인,기술,인터넷을 통해 중앙 서버의 컴퓨팅 자원을 이용함,클라우드 컴퓨팅은 데이터 보관의 편의성을 높인다.,,
중2-3,수능 어휘,도체,導體,확인,과학,전기나 열이 잘 통하는 물질,구리와 금은 전도성이 뛰어난 대표적 도체이다.,,
중2-3,수능 어휘,부도체,不導體,확인,과학,전기나 열이 잘 통하지 않는 물질,고무나 유리 등은 대표적인 부도체에 속한다.,,
중2-3,수능 어휘,초전도체,Superconductor,확인,과학,특정 온도 이하에서 저항이 완전히 0이 되는 물질,초전도체는 자기 부상 열차 개발의 기초 기술이다.,,
중2-3,수능 어휘,대사,代謝,확인,과학,생명체가 생명 유지를 위해 수행하는 모든 화학 반응,물질대사 과정에서 에너지가 흡수되거나 방출된다.,,
중2-3,수능 어휘,항상성,恒常性,확인,과학,체내 환경을 일정한 상태로 유지하려는 생물적 성질,체온과 혈당량 조절은 항상성 유지의 대표적 예다.,,
중2-3,수능 어휘,항상성,恒常性,확인,과학,체내 환경을 일정한 상태로 유지하려는 생물적 성질,몸은 항상성을 유지하기 때문에 다이어트를 해도 원래 상태로 되돌아오려 한다.,,우리말샘
중2-3,수능 어휘,항상성,恒常性,확인,과학,체내 환경을 일정한 상태로 유지하려는 생물적 성질,"어린이나 노약자, 몸이 마른 여성, 만성 피로를 느끼는 사람들은 생리학적 항상성을 유지하는 예비 능력이 떨어져 냉방병에 걸리기 쉽고 2차 감염 위험도 높다.",,우리말샘
중2-3,수능 어휘,자연선택,Natural Selection,확인,과학,환경에 잘 적응한 개체가 살아남아 자손을 남김,다윈은 자연선택설을 통해 진화의 메커니즘을 설명했다.,,
중2-3,수능 어휘,미학,美學,확인,예술,미적인 것의 본질과 예술적 체험을 연구하는 학문,칸트의 미학은 미적 판단력의 자율성을 입증하려 했다.,,
중2-3,수능 어휘,원근법,遠近法,확인,예술,평면에 3차원적 공간감과 입체감을 표현하는 기법,르네상스 화가들은 소멸점을 활용한 선원근법을 완성했다.,,
중2-3,수능 어휘,원근법,遠近法,확인,예술,평면에 3차원적 공간감과 입체감을 표현하는 기법,"야외 촬영 때에는 여분의 농담 원근법을 위해 보다 밝은, 거리감 있는 배경을 넣도록 힘써라.",,우리말샘
중2-3,수능 어휘,원근법,遠近法,확인,예술,평면에 3차원적 공간감과 입체감을 표현하는 기법,기차에서 보이는 바깥의 정경은 옆으로 스쳐 지나간다. 도보 여행처럼 세상을 원근법적으로 들여다보지 않는다.,,우리말샘
중2-3,수능 어휘,원근법,遠近法,확인,예술,평면에 3차원적 공간감과 입체감을 표현하는 기법,원근법은 완전히 폐기돼 그림은 전체적으로 평면성을 드러내고 있고 명암법 역시 희미한 자취만을 남기고 있다.,,우리말샘
중2-3,수능 어휘,원근법,遠近法,확인,예술,평면에 3차원적 공간감과 입체감을 표현하는 기법,3차원 공간을 평면 위에 고정시키기 위한 원근법적 재현은 화면 위의 모든 부분을 하나의 시점으로 통일시키고 모든 움직임을 정지시킨다.,,우리말샘
중2-3,수능 어휘,소멸점,消失點,확인,예술,원근법에서 평행한 선들이 멀어져 하나의 점으로 모임,소멸점의 위치에 따라 그림의 시선과 시점이 결정된다.,,
중2-3,수능 어휘,명암법,明暗法,확인,예술,빛과 그림자를 밝고 어둡게 표현하여 입체감을 냄,키아로스쿠로는 대비가 강렬한 대표적 명암법이다.,,
중2-3,수능 어휘,큐비즘,Cubism,확인,예술,대상을 여러 각도에서 파악하여 한 평면에 다층적으로 재구성,피카소의 큐비즘은 전통적 원근법을 해체하였다.,,
중2-3,수능 어휘,인상주의,Impressionism,확인,예술,빛에 따라 변하는 순간적인 인상과 색채를 포착함,모네의 인상주의 작품은 야외 사생을 강조하였다.,,
중2-3,수능 어휘,인상주의,Impressionism,확인,예술,빛에 따라 변하는 순간적인 인상과 색채를 포착함,서양의 신인상주의자들이 보여 준 기계적인 점묘와는 차원을 달리하는 셈이다.,,우리말샘
중2-3,수능 어휘,인상주의,Impressionism,확인,예술,빛에 따라 변하는 순간적인 인상과 색채를 포착함,"마네, 모네 등 19세기 서양화단을 풍미했던 인상주의 작가들의 작품이 국내에 첫선을 보인다.",,우리말샘
중2-3,수능 어휘,인상주의,Impressionism,확인,예술,빛에 따라 변하는 순간적인 인상과 색채를 포착함,"모네의 그림이 지니고 있는 2차원적 평면성, 나아가 인상주의의 평면성은 기차를 통해 겪게 되는 시각상의 변화에 대한 하나의 답변이다.",,우리말샘
중2-3,수능 어휘,인상주의,Impressionism,확인,예술,빛에 따라 변하는 순간적인 인상과 색채를 포착함,"그는 1886년 이후 파리에 머물며 인상주의 및 신인상주의자들과 교류하였고,1888년 아를로 옮긴 이후에는 밝은 색채의 조화로운 화면 구성을 보여 주는 새로운 변화가 일어났다.",,우리말샘
중2-3,수능 어휘,리얼리즘,Realism,확인,예술,현실의 사실적 모습을 있는 그대로 묘사하고자 함,리얼리즘 문학은 하층민의 삶과 사회적 모순을 그려냈다.,,
중2-3,수능 어휘,고전주의,Classicism,확인,예술,"고대 조화, 균형, 절제미를 모범으로 삼는 예술 양식",고전주의 건축은 대칭과 비율의 엄격성을 지켰다.,,
중2-3,수능 어휘,고전주의,Classicism,확인,예술,"고대 조화, 균형, 절제미를 모범으로 삼는 예술 양식",쇼팽은 스스로를 낭만주의자가 아닌 고전주의자로 규정했다.,,우리말샘
중2-3,수능 어휘,고전주의,Classicism,확인,예술,"고대 조화, 균형, 절제미를 모범으로 삼는 예술 양식",이런 구성의 명료성은 절제나 금욕처럼 고전주의적 이념의 특성이다.,,우리말샘
중2-3,수능 어휘,고전주의,Classicism,확인,예술,"고대 조화, 균형, 절제미를 모범으로 삼는 예술 양식",고전주의적 예술관은 수용자에게서 작품을 주체적으로 해석할 권리를 빼앗는다.,,우리말샘
중2-3,수능 어휘,고전주의,Classicism,확인,예술,"고대 조화, 균형, 절제미를 모범으로 삼는 예술 양식",마지막 제3악장 알레그로에서는 발란친의 신고전주의적인 무용 이미지가 돋보인다.,,우리말샘
중2-3,수능 어휘,바록,Baroque,확인,예술,역동적이고 화려하며 웅장한 감정 표출을 강조한 양식,바르크 미술은 강렬한 빛의 대비와 동적 구도가 특징이다.,,
중2-3,수능 어휘,아방가르드,Avant-garde,확인,예술,기존의 예술적 틀을 깨고 시대를 앞서가는 전위 예술,아방가르드 운동은 예술과 일상의 경계를 허물고자 했다.,,
중2-3,수능 어휘,키치,Kitsch,확인,예술,대중적인 통속 예술이나 저속하고 미학적 가치가 낮은 작품,현대 미술은 키치 문화를 예술 내부로 포섭하기도 한다.,,
중2-3,수능 어휘,오브제,Objet,확인,예술,본래의 용도에서 벗어나 미술 작품에 쓰이는 사물,뒤샹의 '샘'은 기성품을 오브제로 제시한 대표작이다.,,
중2-3,수능 어휘,미니멀리즘,Minimalism,확인,예술,장식을 배제하고 최소한의 단순한 형태를 추구함,미니멀리즘 조각은 재료 고유의 성질을 직관하게 한다.,,
중2-3,수능 어휘,팝아트,Pop Art,확인,예술,대중문화와 소비사회의 이미지를 작품의 소재로 사용,앤디 워홀의 팝아트는 상업 예술과의 경계를 무너뜨렸다.,,
중2-3,수능 어휘,플롯,Plot,확인,예술,소설이나 드라마에서 사건을 논리적으로 배치한 구성,인과관계가 입체적으로 짜인 플롯은 몰입감을 높인다.,,
중2-3,수능 어휘,서사,敍事,확인,예술,사건이나 인물의 이야기를 시간의 흐름에 따라 서술함,서사시에는 한 영웅의 시련과 성장이 담겨 있다.,,
중2-3,수능 어휘,서사,敍事,확인,예술,사건이나 인물의 이야기를 시간의 흐름에 따라 서술함,영화의 서사는 주인공을 중심으로 진행된다.,,표준국어대사전
중2-3,수능 어휘,서사,敍事,확인,예술,사건이나 인물의 이야기를 시간의 흐름에 따라 서술함,소설 속 인물들은 각각의 서사를 가지고 있으며 이들은 또 연결되어 있다.,,표준국어대사전
중2-3,수능 어휘,몽타주,Montage,확인,예술,떨어져 있는 장면들을 편집하여 새로운 의미를 창출함,에이젠슈타인은 몽타주 이론으로 영화의 문법을 정립했다.,,
중2-3,수능 어휘,미장센,Mise-en-scène,확인,예술,"무대나 화면에 인물, 조명, 소품 등을 배치하는 연출",영화의 미장센은 감독의 미학적 의도를 암시한다.,,
중2-4,사자성어,등용문,登龍門,확인,,입신출세의 난관이나 관문,과거 시험은 당시 선비들의 유일한 등용문이었다.,,
중2-4,사자성어,등하불명,燈下不明,확인,,촛불 아래가 어둡듯 가까운 일을 도리어 모름,등하불명이라더니 가까운 곳의 인재를 알아보지 못했다.,,
중2-4,사자성어,마이동풍,馬耳東風,확인,,남의 말을 듣지 않고 흘려버림,아무리 조언을 해줘도 마이동풍으로 흘려듣다.,,
중2-4,사자성어,만사휴의,萬事休矣,확인,,모든 일이 때가 지나 손쓸 수 없게 됨,골든타임을 놓쳐 만시휴의의 탄식을 뱉다.,,
중2-4,사자성어,만신창이,滿身瘡痍,확인,,온몸에 상처가 투성이임 (큰 타격을 입음),시련을 겪고 만신창이가 된 인물의 고뇌.,,
중2-4,사자성어,명경지수,明鏡止水,확인,,맑은 거울과 조용한 물 (잡념 없는 평온한 마음),마음이 명경지수처럼 맑고 흔들림이 없다.,,
중2-4,사자성어,목불인견,目不忍見,확인,,차마 눈으로 볼 수 없을 만큼 참혹하거나 꼴사나움,참상이 목불인견이라 차마 눈을 뜨지 못하다.,,
중2-4,사자성어,문전성시,門前成市,확인,,문 앞이 시장을 이루듯 손님이 매우 많음,벼슬을 얻자 그의 집 문 앞이 문전성시를 이루다.,,
중2-4,사자성어,미풍양속,美風良俗,확인,,아름답고 좋은 미덕과 풍속,우리 사회의 전통적인 미풍양속을 지키다.,,
중2-4,사자성어,발본색원,拔本塞源,확인,,폐단의 근본 원인을 뿌리째 없앰,사회적 비리를 발본색원하겠다는 의지.,,
중2-4,사자성어,배은망덕,背恩忘德,확인,,은혜를 버리고 덕을 잊음,은혜를 배은망덕으로 갚는 인물의 간사함.,,
중2-4,사자성어,백년하청,百年河淸,확인,,아무리 기다려도 이루어질 수 없음,근본 개혁 없는 대책은 백년하청에 불과하다.,,
중2-4,사자성어,부화뇌동,附和雷同,확인,,주관 없이 남의 의견에 휩쓸림,소신 없이 부화뇌동하는 태도를 경계하다.,,
중2-4,개념어,상대주의,,,비문학,"절대적인 진리나 절대적 기준은 존재하지 않으며, 상황·문화·관점에 따라 다름을 주장",문화 상대주의: 각 사회의 문화는 고유한 역사적 환경 속에서 이해되어야 한다.,,
중2-4,개념어,구조주의,,,비문학,"개별 요소를 단독으로 보지 않고, 요소들 간의 전체적인 관계 체계(구조)를 중심으로 분석",언어는 단어 하나보다 언어 체계 전체의 대립적 구조 속에서 의미를 가짐.,,
중2-4,개념어,환원주의,,,비문학,복잡하고 커다란 현상을 더 단순한 기본 요소들의 조합으로 되돌려 설명하려는 방식,"""생명 현상과 정신 활동은 결국 분자와 화학 반응의 집합에 불과하다.""",,
중2-4,개념어,공리주의,,,비문학,"""최대 다수의 최대 행복""을 행동과 도덕의 근본 기준으로 삼는 윤리관",정책 수립 시 더 많은 국민에게 더 높은 효용을 주는 방안을 결정함.,,
중2-4,개념어,의무론,,,비문학,결과와 무관하게 행위 자체가 도덕 법칙이나 의무에 부합하는가를 따지는 윤리관,"""거짓말은 어떠한 나쁜 결과를 막기 위해서라도 절대 해서는 안 된다.""",,
중2-4,개념어,기회비용,,,비문학,어떤 선택을 함으로써 포기해야 하는 다른 선택지들 중 가장 가치가 큰 것,대학 진학을 선택할 때 포기하는 4년간의 직장 수입 및 경력 개발 기회.,,
중2-4,개념어,매몰비용,,,비문학,이미 지출되어 다시 회수할 수 없는 비용 (의사결정 시 고려하지 말아야 함),"환불 불가능한 영화표를 샀다면, 영화가 재미없을 때 억지로 보는 것은 손해임.",,
중2-4,개념어,외부효과 (긍정/부정),,,비문학,한 경제 주체의 행동이 제3자에게 뜻하지 않은 이익이나 손해를 유발하는 현상,[부정적 외부효과] 공장의 오염물질 배출 / [긍정적 외부효과] 과수원의 농사와 꿀벌 업자의 관계.,,
중2-4,고전,얼다,,,감정/관계,사랑하다 / 남녀가 인연을 맺다,얼어 만난 임 (인연을 맺은 임),,
중2-4,고전,여희다 / 여이다,,,이별,"이별하다, 여의다, 잃다",님을 여희옵고 (님과 이별하고),,
중2-4,고전,여희다 / 여이다,,,이별,"이별하다, 여의다, 잃다",아바〮님〯 뵈〯ᅀᆞᄫᆞ〮시ᇙ제〮 어〮마님〯 여희〮신〮 누ᇈ므〮를〮 左右ㅣ 슬ᄊᆞᄫᅡ〮 아바〮님〯 일ᄏᆞᄅᆞ시〮니〮,,용비어천가
중2-4,고전,지당(池塘),,,공간,연못,지당에 비 뿌리고 (연못에 비가 내리고),,
중2-4,고전,가람,,,자연/지리,강,가람에 배 떠 가니 (강에 배가 떠 가니),,
중2-4,고전,가람,,,자연/지리,강,가람 푸른 곳에,,
중2-4,고전,뫼 / 메,,,자연/지리,산,뫼은 높고 물은 깊어 (산은 높고 물은 깊어),,
중2-4,고전,온,,,수사/관형사,백(100) / 모든,온 가지 꽃들이 (모든 종류의 꽃들이),,
중2-4,수능 어휘,폴리포니,Polyphony,확인,예술,여러 개의 독립된 멜로디가 동시에 울리는 다성 음악,바흐의 대위법은 폴리포니 음악의 정점을 보여준다.,,
중2-4,수능 어휘,모노포니,Monophony,확인,예술,반주 없이 단 하나의 단성율로만 이루어진 음악,중세 그레고리오 찬가는 모노포니 음악의 대표적 예다.,,
중2-4,수능 어휘,하모니,Harmony,확인,예술,서로 다른 음들이 동시에 어울려 나는 화음,화성학은 화음의 구성과 진행 규칙을 다루는 분야다.,,
중2-4,수능 어휘,건축양식,Architecture,확인,예술,특정 시대나 지역이 지닌 고유한 건축 구조와 디자인,"고딕 양식은 높은 층고와 첨탑, 스테인드글라스가 특징이다.",,
중2-4,수능 어휘,골계미,滑稽美,확인,예술,현실의 모순을 웃음으로 극복하고 조화시키는 아름다움,판소리 사설에서는 골계미가 돋보이는 대목이 많다.,,
중2-4,수능 어휘,숭고미,崇高美,확인,예술,거대한 자연이나 위대한 정신 앞에서 느끼는 경외감,폭풍우 치는 바다 그림은 숭고미를 불러일으킨다.,,
중2-4,수능 어휘,우아미,優雅美,확인,예술,자연과의 조화 속에서 느껴지는 온화하고 세련된 아름다움,조선 백자의 완만한 곡선은 우아미를 자아낸다.,,
중2-4,수능 어휘,비장미,悲壯美,확인,예술,엄숙한 가치를 위해 시련에 맞서다 좌절할 때의 아름다움,비극적 영웅의 마지막 거사는 비장미를 불러일으킨다.,,
중2-4,수능 어휘,명제,命題,확인,논리,참이나 거짓을 분명하게 판별할 수 있는 문장,논리학에서는 명제의 진위 여부를 따지는 것이 기본이다.,,
중2-4,수능 어휘,전제,前提,확인,논리,결론을 이끌어내기 위한 바탕이 되는 판단이나 명제,전제가 거짓이면 결론이 논리적이어도 참이라 보장할 수 없다.,,
중2-4,수능 어휘,전제,前提,확인,논리,결론을 이끌어내기 위한 바탕이 되는 판단이나 명제,그들은 결혼을 전제로 사귀고 있다.,,표준국어대사전
중2-4,수능 어휘,전제,前提,확인,논리,결론을 이끌어내기 위한 바탕이 되는 판단이나 명제,전제 조건.,,표준국어대사전
중2-4,수능 어휘,전제,前提,확인,논리,결론을 이끌어내기 위한 바탕이 되는 판단이나 명제,전제를 달다.,,표준국어대사전
중2-4,수능 어휘,결론,結論,확인,논리,전제들로부터 최종적으로 도출된 판단이나 주장,논증의 타당성은 전제와 결론 사이의 관계에 달렸다.,,
중2-4,수능 어휘,결론,結論,확인,논리,전제들로부터 최종적으로 도출된 판단이나 주장,그 말은 결론 부분에서 해야 할 말이다.,,표준국어대사전
중2-4,수능 어휘,결론,結論,확인,논리,전제들로부터 최종적으로 도출된 판단이나 주장,작가는 결론에서 자신의 생각을 다시 한번 피력했다.,,표준국어대사전
중2-4,수능 어휘,결론,結論,확인,논리,전제들로부터 최종적으로 도출된 판단이나 주장,한 시간 동안이나 회의를 했으나 결론이 나지 않았다.,,표준국어대사전
중2-4,수능 어휘,결론,結論,확인,논리,전제들로부터 최종적으로 도출된 판단이나 주장,계획서를 분석한 결과 정해진 시간에 사업을 완료하는 것이 불가능하다는 결론을 얻었다.,,표준국어대사전
중2-4,수능 어휘,타당성,妥當性,확인,논리,전제가 참일 때 결론이 거짓일 수 없는 논리적 연결성,연역 논증의 가치는 논리적 타당성으로 평가된다.,,
중2-4,수능 어휘,타당성,妥當性,확인,논리,전제가 참일 때 결론이 거짓일 수 없는 논리적 연결성,이제 와서 그 일의 타당성 여부를 묻는 것이 무슨 소용이 있겠는가.,,표준국어대사전
중2-4,수능 어휘,타당성,妥當性,확인,논리,전제가 참일 때 결론이 거짓일 수 없는 논리적 연결성,상필의 주장에도 상당한 타당성이 있는 것 같아 상배는 고개를 끄덕이며 귀를 기울였다.,,표준국어대사전
중2-4,수능 어휘,타당성,妥當性,확인,논리,전제가 참일 때 결론이 거짓일 수 없는 논리적 연결성,타당성이 없다.,,표준국어대사전
중2-4,수능 어휘,타당성,妥當性,확인,논리,전제가 참일 때 결론이 거짓일 수 없는 논리적 연결성,타당성을 검토하다.,,표준국어대사전
중2-4,수능 어휘,건전성,健全性,확인,논리,논증이 타당하고 동시에 모든 전제가 실제로 참인 상태,건전한 논증은 완전한 수용 가능성을 지닌다.,,
중2-4,수능 어휘,개연성,蓋然性,확인,논리,어떤 사실이 실제로 일어날 수 있는 가능성의 정도,귀납 추론은 개연성이 높은 결론을 이끌어내는 목적을 가진다.,,
중2-4,수능 어휘,개연성,蓋然性,확인,논리,어떤 사실이 실제로 일어날 수 있는 가능성의 정도,오류 발생의 개연성이 크다.,,표준국어대사전
중2-4,수능 어휘,개연성,蓋然性,확인,논리,어떤 사실이 실제로 일어날 수 있는 가능성의 정도,이 교통사고는 운전자의 부주의로 일어났을 개연성이 높다.,,표준국어대사전
중2-4,수능 어휘,개연성,蓋然性,확인,논리,어떤 사실이 실제로 일어날 수 있는 가능성의 정도,개연성이 있다.,,표준국어대사전
중2-4,수능 어휘,개연성,蓋然性,확인,논리,어떤 사실이 실제로 일어날 수 있는 가능성의 정도,개연성이 없다.,,표준국어대사전
중2-4,수능 어휘,오류,誤謬,확인,논리,겉으로는 타당해 보이나 논리적으로 잘못된 추론,사람에 의한 비판은 대표적인 비형식적 오류다.,,
중2-4,수능 어휘,오류,誤謬,확인,논리,겉으로는 타당해 보이나 논리적으로 잘못된 추론,"사상 관계의 토론에서 그는 종종 궁지에 몰렸지만, 자리를 박차고 나갈지언정 자신의 오류는 인정하지 않으려던 김철이었다.",,표준국어대사전
중2-4,수능 어휘,오류,誤謬,확인,논리,겉으로는 타당해 보이나 논리적으로 잘못된 추론,함수식이 잘못되어 오류가 발생했다.,,표준국어대사전
중2-4,수능 어휘,오류,誤謬,확인,논리,겉으로는 타당해 보이나 논리적으로 잘못된 추론,설치 프로그램에서 예기치 못한 오류가 발생했습니다.,,표준국어대사전
중2-4,수능 어휘,오류,誤謬,확인,논리,겉으로는 타당해 보이나 논리적으로 잘못된 추론,오류를 범하다.,,표준국어대사전
중2-4,수능 어휘,역설,逆說,확인,논리,겉보기에는 모순되지만 깊은 진리를 담고 있는 표현,'침묵은 가장 큰 함성이다'는 역설적 표현에 해당한다.,,
